"id","artists"
"196355","Song Dong"
"196355","Tania Bruguera"
"196355","Thomas Hirschhorn"
"196355","VALIE EXPORT"
"196355","Walid Raad"
"196355","William Kentridge"
"46767","Sudarshan Shetty"
"186646","Frank Gehry"
"389653","Cai Guo-Qiang"
"203122","Ai Weiwei"
"203122","Hito Steyerl"
"79085","Pipilotti Rist"
"79085","Yoko Ono"
"108820","Dennis Oppenheim"
"488546","Tony Albert"
"211968","Eva Rothschild"
"7832","Bruce Nauman"
"7832","Franz Erhard Walther"
"7832","John Cage"
"107908","Tacita Dean"
"363004","Bill Viola"
"363004","Olafur Eliasson"
"107442","Joan Jonas"
"107442","Otto Piene"
"108396","Joan Jonas"
"299923","Carrie Mae Weems"
"299923","Nick Cave"
"468917","Betye Saar"
"338754","Claude Cahun"
"338754","Louise Bourgeois"
"312138","Daniel Spoerri"
"312138","Dieter Roth"
"312138","Heinz Mack"
"312138","Jean Tinguely"
"312138","Jesús Rafael Soto"
"312138","Josef Albers"
"312138","Julio Le Parc"
"312138","Marcel Duchamp"
"312138","Roy Lichtenstein"
"312138","Victor Vasarely"
"276403","Yto Barrada"
"341638","Bruce Nauman"
"111976","Cao Fei"
"111976","He Xiangyu"
"173520","Maria Loboda"
"439837","Antony Gormley"
"439837","Cameron Platter"
"439837","Francesco Arena"
"439837","Jitish Kallat"
"439837","Kimsooja"
"439837","Qiu Zhijie"
"439837","Robert Mapplethorpe"
"439837","Tatsuo Miyajima"
"460852","Ernesto Neto"
"460852","Sophie Calle"
"419621","Alfredo Jaar"
"419621","Bill Viola"
"419621","Carlos Cruz-Diez"
"419621","Carrie Mae Weems"
"419621","Elizabeth Catlett"
"419621","Fred Wilson"
"419621","Jacob Lawrence"
"419621","Janet Cardiff"
"419621","Robin Rhode"
"419621","Subodh Gupta"
"289951","Alfredo Jaar"
"289951","Bill Viola"
"289951","Carlos Cruz-Diez"
"289951","Carrie Mae Weems"
"289951","Fred Wilson"
"289951","Gillian Wearing"
"289951","Isaac Julien"
"289951","Jacob Lawrence"
"289951","Janet Cardiff"
"289951","Robin Rhode"
"289951","Subodh Gupta"
"95475","Ho Tzu Nyen"
"95475","Nalini Malani"
"95475","Song Dong"
"95475","Xu Bing"
"101079","Gianfranco Baruchello"
"101079","Jenny Holzer"
"101079","Rossella Biscotti"
"101079","Rä di Martino"
"59640","Liu Wei"
"59640","Paweł Althamer"
"59640","Sudarshan Shetty"
"76903","Daniel Spoerri"
"76903","Josef Dabernig"
"76903","Julian Opie"
"76903","Paweł Althamer"
"76903","Sarah Lucas"
"76903","Wilhelm Sasnal"
"186683","Alfredo Jaar"
"186683","Ali Cherri"
"186683","Anthony McCall"
"186683","Bill Viola"
"186683","Isaac Julien"
"186683","Janaina Tschäpe"
"186683","Jenny Holzer"
"186683","John Gerrard"
"186683","John Smith"
"186683","KR"
"186683","Luca Trevisani"
"186683","Ma Qiusha"
"186683","Marina Abramovic"
"186683","Shepard Fairey"
"186683","Tracey Emin"
"186683","William Kentridge"
"186683","Yoko Ono"
"188615","Andreas Gursky"
"188615","Dana Schutz"
"188615","Douglas Gordon"
"188615","Rafael Lozano-Hemmer"
"188615","Thomas Ruff"
"188615","Vanessa Beecroft"
"438512","Adrian Piper"
"432820","Louise Lawler"
"432822","Louise Lawler"
"220339","Adrian Piper"
"168200","David Hammons"
"168200","Ibrahim El-Salahi"
"142220","Hiwa K"
"330278","Hito Steyerl"
"231411","John Ruskin"
"231411","Lynette Yiadom-Boakye"
"231411","Tania Bruguera"
"231411","William Kentridge"
"164579","Hito Steyerl"
"164579","John Ruskin"
"164579","Lynette Yiadom-Boakye"
"164579","Tania Bruguera"
"164579","William Kentridge"
"105136","John Ruskin"
"105136","Lynette Yiadom-Boakye"
"105136","Tania Bruguera"
"105136","William Kentridge"
"107256","Martin Boyce"
"109712","Joan Miró"
"109712","Pablo Picasso"
"188282","Ann Hamilton"
"188282","Ellen Gallagher"
"188282","Kiki Smith"
"188282","Sarah Lucas"
"532872","Adrian Piper"
"532872","Heidi Bucher"
"529608","Andrea Zittel"
"529608","Julio Le Parc"
"529608","Sonia Delaunay"
"503532","Hito Steyerl"
"503532","John Miller"
"379123","Andrea Zittel"
"379123","Bas Jan Ader"
"379123","Ernesto Neto"
"379123","Ernst Ludwig Kirchner"
"379123","Friedrich Kunath"
"379123","Karl Schmidt-Rottluff"
"379123","Marina Abramović"
"379123","Mladen Stilinović"
"379123","Otto Dix"
"379123","Yoko Ono"
"290575","Beatriz Gonzalez"
"290575","Peggy Ahwesh"
"318296","Sophie Calle"
"249664","Asger Jorn"
"284907","Magdalena Abakanowicz"
"249663","Alex Katz"
"249663","Alexej von Jawlensky"
"249663","Arnulf Rainer"
"249663","Cindy Sherman"
"249663","Edvard Munch"
"249663","Ernst Ludwig Kirchner"
"249663","Erró"
"249663","John Smith"
"249663","Karel Appel"
"249663","Karl Schmidt-Rottluff"
"249663","Marina Abramović"
"249663","Mark Wallinger"
"249663","Marlene Dumas"
"249663","Michelangelo Pistoletto"
"249663","Nan Goldin"
"249663","Oskar Kokoschka"
"249663","Ugo Rondinone"
"249663","Valie Export"
"249663","Zanele Muholi"
"249663","Zhang Huan"
"203550","Asger Jorn"
"203550","Joan Mitchell"
"190876","Constantin Brancusi"
"190876","Ion Bitzan"
"76123","Louise Lawler"
"76123","Martha Rosler"
"76123","Sherrie Levine"
"147718","Matthew Barney"
"147718","Olafur Eliasson"
"106621","Joan Jonas"
"110000","Jitish Kallat"
"111548","Alfredo Jaar"
"188888","ALBERT OEHLEN"
"188888","Albert Oehlen"
"188956","ALESSANDRO PESSOLI"
"188956","JUDITH HOPF"
"185686","Rafael Lozano-Hemmer"
"489416","Cao Fei"
"295606","Louis Vuitton"
"295606","William Kentridge"
"184919","Dominique Gonzalez-Foerster"
"188222","ANDREAS GURSKY"
"188222","FRIEDRICH KUNATH"
"188222","GEORG HEROLD"
"188222","JOHN BALDESSARI"
"188654","ANDY WARHOL"
"188654","JEFF KOONS"
"188654","JOHN MCLAUGHLIN"
"189206","ANDY WARHOL"
"187722","ANISH KAPOOR"
"187722","Anish Kapoor"
"110529","JOHN SMITH"
"540817","Ding Yi"
"540817","Gabriel Kuri"
"540817","Haegue Yang"
"540817","Richard Long"
"540817","Robert Mapplethorpe"
"540817","Tony Cragg"
"281635","Marina Abramović"
"281635","ORLAN"
"348689","Nadia Kaabi-Linke"
"169282","HU"
"169282","KR"
"186816","Shepard Fairey"
"187063","Marcel Duchamp"
"188700","Fiona Tan"
"188700","Olafur Eliasson"
"188846","Henry Darger"
"188846","Patricia Piccinini"
"440333","Bruce Nauman"
"440333","Gian Maria Tosatti"
"440333","James Lee Byars"
"397682","Georg Baselitz"
"397682","Henry Darger"
"110141","Carl Andre"
"110141","Dan Flavin"
"110141","Dan Graham"
"110141","Donald Judd"
"110141","Robert Smithson"
"488932","Barbara Kruger"
"391539","Marcel Broodthaers"
"245725","Allan Kaprow"
"274172","Iwan Baan"
